"serial","father","child","depth","access"
"url_0","child input","https://www.python.org","0","True"
"url_1","https://www.python.org","https://www.python.org/jobs/feed/rss","1","True"
"url_2","https://www.python.org","https://feeds.feedburner.com/PythonSoftwareFoundationNews","1","True"
"url_3","https://www.python.org","https://feeds.feedburner.com/PythonInsider","1","True"
"url_4","https://www.python.org","http://browsehappy.com","1","True"
"url_5","https://www.python.org","https://www.python.org/psf","1","True"
"url_6","https://www.python.org","https://www.python.org/jobs","1","True"
"url_7","https://www.python.org","https://www.python.org/community","1","True"
"url_8","https://www.python.org","https://www.linkedin.com/company/python-software-foundation","1","True"
"url_9","https://www.python.org","https://www.python.org/community/irc","1","True"
"url_10","https://www.python.org","https://twitter.com/ThePSF","1","True"
"url_11","https://www.python.org","https://www.python.org/about","1","True"
"url_12","https://www.python.org","https://www.python.org/about/apps","1","True"
"url_13","https://www.python.org","https://www.python.org/about/quotes","1","True"
"url_14","https://www.python.org","https://www.python.org/about/gettingstarted","1","True"
"url_15","https://www.python.org","https://www.python.org/about/help","1","True"
"url_16","https://www.python.org","https://www.python.org/downloads","1","True"
"url_17","https://www.python.org","https://www.python.org/downloads/source","1","True"
"url_18","https://www.python.org","https://www.python.org/downloads/windows","1","True"
"url_19","https://www.python.org","https://www.python.org/downloads/macos","1","True"
"url_20","https://www.python.org","https://www.python.org/download/other","1","True"
"url_21","https://www.python.org","https://www.python.org/download/alternatives","1","True"
"url_22","https://www.python.org","https://www.python.org/doc","1","True"
"url_23","https://www.python.org","https://www.python.org/doc/essays","1","True"
"url_24","https://www.python.org","https://www.python.org/community/diversity","1","True"
"url_25","https://www.python.org","https://www.python.org/community/lists","1","True"
"url_26","https://www.python.org","https://www.python.org/community/forums","1","True"
"url_27","https://www.python.org","https://www.python.org/psf/annual-report/2021","1","True"
"url_28","https://www.python.org","https://www.python.org/community/workshops","1","True"
"url_29","https://www.python.org","https://www.python.org/community/sigs","1","True"
"url_30","https://www.python.org","https://www.python.org/community/logos","1","True"
"url_31","https://www.python.org","https://www.python.org/psf/conduct","1","True"
"url_32","https://www.python.org","https://www.python.org/community/awards","1","True"
"url_33","https://www.python.org","https://www.python.org/psf/get-involved","1","True"
